UserId,UserName,Date,Location,PostId,TagId,TagName
"4400697","nmusleh","2017-11-15 17:39:59","Boston","45130392","243","django"
"8665714","Sathya Quaker","2017-11-20 06:58:33","Boston","46995403","60010","python-3.x"
"1731862","Ankur Shanbhag","2017-12-15 18:05:19","Boston, Massachusetts","17972270","1944","activemq"
"7578055","Gregory Palermo","2017-02-17 04:09:45","Boston","42287348","83308","r-markdown"
"3201696","ajmajmajma","2017-10-07 02:03:25","Boston","46614623","13710","mocha"
"741099","Nyxynyx","2017-06-01 09:35:19","Boston","10045022","30","database"
"7578055","Gregory Palermo","2017-02-17 04:09:45","Boston","42287348","4452","r"
"1406210","Lance McCarthy","2017-02-02 23:36:27","Boston","40921005","35203","xamarin.ios"
"8489616","Jerry Tiller","2017-08-21 10:36:14","Boston","45778214","114","arrays"
"456564","German Attanasio","2017-09-09 22:31:39","Boston, Massachusetts","46095284","120420","watson-conversation"
"3201696","ajmajmajma","2017-02-01 17:37:41","Boston","41985336","742","mobile"
"2415684","jenesaisquoi","2017-09-13 16:08:40","Boston","31555086","4452","r"
"8168266","Yihao Hu","2017-06-23 21:02:28","Boston","44729709","18022","keyboard-events"
"2415684","jenesaisquoi","2017-09-24 18:52:43","Boston","46393386","4452","r"
"741099","Nyxynyx","2017-06-01 09:35:19","Boston","10045022","5","php"
"1085186","StackFlowed","2017-02-20 21:08:50","Boston","42353739","114","arrays"
"3201696","ajmajmajma","2017-10-07 02:03:25","Boston","46614623","118482","babel-node"
"3201696","ajmajmajma","2017-02-01 17:37:41","Boston","41985336","1646","scroll"
"4179866","giuseppe","2017-09-29 09:39:32","Boston","26663573","8503","nsurl"
"2415684","jenesaisquoi","2017-08-30 09:39:24","Boston","33141630","4452","r"
"741099","Nyxynyx","2017-07-26 14:54:38","Boston","20708442","70885","d3.js"
"2415684","jenesaisquoi","2017-08-30 09:39:24","Boston","33141630","70885","d3.js"
"2415684","jenesaisquoi","2017-01-05 16:32:46","Boston","28185497","4452","r"
"1085186","StackFlowed","2017-03-23 15:52:45","Boston","32720476","1067","homebrew"
"4400697","nmusleh","2017-08-06 21:04:17","Boston","45536057","114454","angular-controller"
"564157","Joseph Lust","2017-08-22 17:51:29","Boston","45548924","106095","codeship"
"2354978","ib4u","2017-05-11 19:14:54","Boston","43903122","121529","data-pipeline"
